,time,perf_number,group,performance,button,server,overall,seat,button_presses,performer
0,2015-04-29 17:54:52.018312,1,1,1,ButtonOff,ServerOn,Server,4,0,D
1,2015-04-29 18:11:55.343287,2,1,2,ButtonOn,ServerOn,Both,4,2,D
2,2015-04-29 18:25:14.797605,3,1,3,ButtonOff,ServerOff,Nothing,4,0,D
3,2015-04-29 18:35:30.517296,4,1,4,ButtonOn,ServerOff,Button,4,36,D
4,2015-05-01 17:53:23.576060,5,2,1,ButtonOff,ServerOff,Nothing,4,0,H
5,2015-05-01 18:20:44.864740,6,2,2,ButtonOff,ServerOn,Server,4,0,H
6,2015-05-01 18:34:23.255072,7,2,3,ButtonOn,ServerOff,Button,4,4,H
7,2015-05-01 18:46:36.859530,8,2,4,ButtonOn,ServerOn,Both,4,140,H
8,2015-05-07 18:11:26.362992,9,3,1,ButtonOn,ServerOff,Button,4,3,L
9,2015-05-07 18:25:57.558081,10,3,2,ButtonOff,ServerOff,Nothing,4,0,L
10,2015-05-07 18:37:59.149816,11,3,3,ButtonOn,ServerOn,Both,4,0,L
11,2015-05-07 18:52:39.024239,12,3,4,ButtonOff,ServerOn,Server,4,0,L
12,2015-05-08 15:28:20.560413,13,4,1,ButtonOn,ServerOn,Both,4,1,P
13,2015-05-08 15:41:15.725976,14,4,2,ButtonOn,ServerOff,Button,4,2,P
14,2015-05-08 15:53:57.501890,15,4,3,ButtonOff,ServerOn,Server,4,0,P
15,2015-05-08 16:08:10.914470,16,4,4,ButtonOff,ServerOff,Nothing,4,0,P
16,2015-04-29 17:54:52.018312,1,1,1,ButtonOff,ServerOn,Server,2,0,B
17,2015-04-29 18:11:55.343287,2,1,2,ButtonOn,ServerOn,Both,2,2,B
18,2015-04-29 18:25:14.797605,3,1,3,ButtonOff,ServerOff,Nothing,2,0,B
19,2015-04-29 18:35:30.517296,4,1,4,ButtonOn,ServerOff,Button,2,2,B
20,2015-05-01 17:53:23.576060,5,2,1,ButtonOff,ServerOff,Nothing,2,0,F
21,2015-05-01 18:20:44.864740,6,2,2,ButtonOff,ServerOn,Server,2,0,F
22,2015-05-01 18:34:23.255072,7,2,3,ButtonOn,ServerOff,Button,2,17,F
23,2015-05-01 18:46:36.859530,8,2,4,ButtonOn,ServerOn,Both,2,457,F
24,2015-05-07 18:11:26.362992,9,3,1,ButtonOn,ServerOff,Button,2,1,J
25,2015-05-07 18:25:57.558081,10,3,2,ButtonOff,ServerOff,Nothing,2,0,J
26,2015-05-07 18:37:59.149816,11,3,3,ButtonOn,ServerOn,Both,2,2,J
27,2015-05-07 18:52:39.024239,12,3,4,ButtonOff,ServerOn,Server,2,0,J
28,2015-05-08 15:28:20.560413,13,4,1,ButtonOn,ServerOn,Both,2,5,N
29,2015-05-08 15:41:15.725976,14,4,2,ButtonOn,ServerOff,Button,2,1,N
30,2015-05-08 15:53:57.501890,15,4,3,ButtonOff,ServerOn,Server,2,0,N
31,2015-05-08 16:08:10.914470,16,4,4,ButtonOff,ServerOff,Nothing,2,0,N
32,2015-04-29 17:54:52.018312,1,1,1,ButtonOff,ServerOn,Server,3,0,C
33,2015-04-29 18:11:55.343287,2,1,2,ButtonOn,ServerOn,Both,3,10,C
34,2015-04-29 18:25:14.797605,3,1,3,ButtonOff,ServerOff,Nothing,3,0,C
35,2015-04-29 18:35:30.517296,4,1,4,ButtonOn,ServerOff,Button,3,151,C
36,2015-05-01 17:53:23.576060,5,2,1,ButtonOff,ServerOff,Nothing,3,0,G
37,2015-05-01 18:20:44.864740,6,2,2,ButtonOff,ServerOn,Server,3,0,G
38,2015-05-01 18:34:23.255072,7,2,3,ButtonOn,ServerOff,Button,3,12,G
39,2015-05-01 18:46:36.859530,8,2,4,ButtonOn,ServerOn,Both,3,8,G
40,2015-05-07 18:11:26.362992,9,3,1,ButtonOn,ServerOff,Button,3,1,K
41,2015-05-07 18:25:57.558081,10,3,2,ButtonOff,ServerOff,Nothing,3,0,K
42,2015-05-07 18:37:59.149816,11,3,3,ButtonOn,ServerOn,Both,3,0,K
43,2015-05-07 18:52:39.024239,12,3,4,ButtonOff,ServerOn,Server,3,0,K
44,2015-05-08 15:28:20.560413,13,4,1,ButtonOn,ServerOn,Both,3,1,O
45,2015-05-08 15:41:15.725976,14,4,2,ButtonOn,ServerOff,Button,3,7,O
46,2015-05-08 15:53:57.501890,15,4,3,ButtonOff,ServerOn,Server,3,0,O
47,2015-05-08 16:08:10.914470,16,4,4,ButtonOff,ServerOff,Nothing,3,0,O
48,2015-04-29 17:54:52.018312,1,1,1,ButtonOff,ServerOn,Server,1,0,A
49,2015-04-29 18:11:55.343287,2,1,2,ButtonOn,ServerOn,Both,1,1,A
50,2015-04-29 18:25:14.797605,3,1,3,ButtonOff,ServerOff,Nothing,1,0,A
51,2015-04-29 18:35:30.517296,4,1,4,ButtonOn,ServerOff,Button,1,3,A
52,2015-05-01 17:53:23.576060,5,2,1,ButtonOff,ServerOff,Nothing,1,0,E
53,2015-05-01 18:20:44.864740,6,2,2,ButtonOff,ServerOn,Server,1,0,E
54,2015-05-01 18:34:23.255072,7,2,3,ButtonOn,ServerOff,Button,1,16,E
55,2015-05-01 18:46:36.859530,8,2,4,ButtonOn,ServerOn,Both,1,6,E
56,2015-05-07 18:11:26.362992,9,3,1,ButtonOn,ServerOff,Button,1,9,I
57,2015-05-07 18:25:57.558081,10,3,2,ButtonOff,ServerOff,Nothing,1,0,I
58,2015-05-07 18:37:59.149816,11,3,3,ButtonOn,ServerOn,Both,1,0,I
59,2015-05-07 18:52:39.024239,12,3,4,ButtonOff,ServerOn,Server,1,0,I
60,2015-05-08 15:28:20.560413,13,4,1,ButtonOn,ServerOn,Both,1,7,M
61,2015-05-08 15:41:15.725976,14,4,2,ButtonOn,ServerOff,Button,1,10,M
62,2015-05-08 15:53:57.501890,15,4,3,ButtonOff,ServerOn,Server,1,0,M
63,2015-05-08 16:08:10.914470,16,4,4,ButtonOff,ServerOff,Nothing,1,0,M
