time,charles,jonathan,yvonne,christina
2013-08-03 17:11:00,5,0,0,0
2013-08-03 17:11:05,6,2,0,0
2013-08-03 17:11:10,7,1,7,0
2013-08-03 17:11:15,7,2,7,4
2013-08-03 17:11:20,8,7,7,2
2013-08-03 17:11:25,8,2,5,2
2013-08-03 17:11:30,7,4,7,0
2013-08-03 17:11:35,8,2,5,2
2013-08-03 17:11:40,8,0,8,2
2013-08-03 17:11:45,0,2,6,0
2013-08-03 17:11:50,2,4,6,6
2013-08-03 17:11:55,2,4,7,6
2013-08-03 17:12:00,2,8,8,6
2013-08-03 17:12:05,3,6,4,0
2013-08-03 17:12:10,1,4,6,0
2013-08-03 17:12:15,2,4,4,4
2013-08-03 17:12:20,2,4,4,0
2013-08-03 17:12:25,1,0,4,4
2013-08-03 17:12:30,0,6,6,4
2013-08-03 17:12:35,2,3,4,4
2013-08-03 17:12:40,1,3,3,4
2013-08-03 17:12:45,2,3,6,4
2013-08-03 17:12:50,2,3,6,4
2013-08-03 17:12:55,2,3,3,4
2013-08-03 17:13:00,2,4,4,4
2013-08-03 17:13:05,2,4,3,0
2013-08-03 17:13:10,2,6,0,0
2013-08-03 17:13:15,2,0,0,1
2013-08-03 17:13:20,2,4,0,1
2013-08-03 17:13:25,7,2,0,0
2013-08-03 17:13:30,5,2,0,1
2013-08-03 17:13:35,5,0,2,0
2013-08-03 17:13:40,5,2,2,2
2013-08-03 17:13:45,5,2,2,2
2013-08-03 17:13:50,5,2,2,2
2013-08-03 17:13:55,7,2,0,5
2013-08-03 17:14:00,0,2,0,5
2013-08-03 17:14:05,5,2,0,5
2013-08-03 17:14:10,4,2,2,6
2013-08-03 17:14:15,7,0,3,5
2013-08-03 17:14:20,7,2,0,6
2013-08-03 17:14:25,6,2,2,2
2013-08-03 17:14:30,6,2,1,2
2013-08-03 17:14:35,6,2,1,2
2013-08-03 17:14:40,6,2,1,2
2013-08-03 17:14:45,6,2,1,2
2013-08-03 17:14:50,7,2,0,1
2013-08-03 17:14:55,7,2,0,2
2013-08-03 17:15:00,7,2,1,2
2013-08-03 17:15:05,7,2,2,2
2013-08-03 17:15:10,7,2,5,2
2013-08-03 17:15:15,8,2,2,2
2013-08-03 17:15:20,2,2,2,2
2013-08-03 17:15:25,2,2,2,2
2013-08-03 17:15:30,0,2,1,2
2013-08-03 17:15:35,2,0,2,2
2013-08-03 17:15:40,0,0,0,2
2013-08-03 17:15:45,2,0,2,2
2013-08-03 17:15:50,0,2,2,2
2013-08-03 17:15:55,5,2,2,2
2013-08-03 17:16:00,6,2,2,2
2013-08-03 17:16:05,7,2,2,2
2013-08-03 17:16:10,6,2,2,6
2013-08-03 17:16:15,7,2,2,6
2013-08-03 17:16:20,6,2,2,4
2013-08-03 17:16:25,7,2,2,0
2013-08-03 17:16:30,7,2,2,0
2013-08-03 17:16:35,7,2,2,3
2013-08-03 17:16:40,7,2,2,2
2013-08-03 17:16:45,7,2,1,2
2013-08-03 17:16:50,6,2,1,2
2013-08-03 17:16:55,7,0,1,2
2013-08-03 17:17:00,7,2,1,2
2013-08-03 17:17:05,7,2,1,2
2013-08-03 17:17:10,5,2,1,2
2013-08-03 17:17:15,8,2,1,2
2013-08-03 17:17:20,2,4,1,2
2013-08-03 17:17:25,2,0,1,2
2013-08-03 17:17:30,2,0,1,2
2013-08-03 17:17:35,1,0,2,2
2013-08-03 17:17:40,2,1,1,2
2013-08-03 17:17:45,2,2,1,0
2013-08-03 17:17:50,1,2,1,1
2013-08-03 17:17:55,0,2,0,1
2013-08-03 17:18:00,0,1,0,2
2013-08-03 17:18:05,0,2,2,2
2013-08-03 17:18:10,8,2,2,2
2013-08-03 17:18:15,6,2,2,2
2013-08-03 17:18:20,6,2,0,0
2013-08-03 17:18:25,4,2,0,0
2013-08-03 17:18:30,0,0,2,0
2013-08-03 17:18:35,4,0,2,6
2013-08-03 17:18:40,4,0,2,4
2013-08-03 17:18:45,4,2,2,2
2013-08-03 17:18:50,4,0,0,0
2013-08-03 17:18:55,4,0,0,4
2013-08-03 17:19:00,8,0,0,0
2013-08-03 17:19:05,4,0,2,1
2013-08-03 17:19:10,1,0,0,1
2013-08-03 17:19:15,1,0,1,1
2013-08-03 17:19:20,1,1,0,0
2013-08-03 17:19:25,1,1,2,0
2013-08-03 17:19:30,2,1,2,6
2013-08-03 17:19:35,2,1,4,7
2013-08-03 17:19:40,1,1,0,2
2013-08-03 17:19:45,2,1,1,0
2013-08-03 17:19:50,1,1,2,0
2013-08-03 17:19:55,2,1,0,0
2013-08-03 17:20:00,3,1,0,0
2013-08-03 17:20:05,6,0,0,0
2013-08-03 17:20:10,6,0,0,0
2013-08-03 17:20:15,6,0,0,0
2013-08-03 17:20:20,6,0,0,0
2013-08-03 17:20:25,6,2,0,0
2013-08-03 17:20:30,6,1,0,0
2013-08-03 17:20:35,6,1,2,0
2013-08-03 17:20:40,6,2,2,3
2013-08-03 17:20:45,6,1,0,3
2013-08-03 17:20:50,6,2,2,3
2013-08-03 17:20:55,6,2,2,3
2013-08-03 17:21:00,4,2,2,3
2013-08-03 17:21:05,6,2,2,3
2013-08-03 17:21:10,6,2,2,3
2013-08-03 17:21:15,6,2,0,1
2013-08-03 17:21:20,6,2,8,0
2013-08-03 17:21:25,6,2,7,0
2013-08-03 17:21:30,6,2,7,0
2013-08-03 17:21:35,7,2,2,0
2013-08-03 17:21:40,6,2,0,0
2013-08-03 17:21:45,6,0,0,0
2013-08-03 17:21:50,7,2,0,0
2013-08-03 17:21:55,5,2,0,0
2013-08-03 17:22:00,2,2,0,0
